	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_2330_2.txt	2330	2	92.0	54.0	62.0	88.0	59.0	36.0	50.0	55.0	64.0	30.0	83.0	61.0	67.0	85.0	45.0	62.0	46.0	48.0	30.0	21.0	26.0	28.0	45.0	42.0	38.0	71.0	51.0	35.0	85.0	143.0	87.0	57.0	90.0	40.0	65.0	31.0	41.0	38.0	65.0	84.0	118.0	50.0	84.0	38.0	47.0	18.0	41.0	41.0	89.0	29.0
alpha_rarefaction_2330_3.txt	2330	3	89.0	53.0	65.0	82.0	57.0	35.0	43.0	54.0	69.0	26.0	83.0	61.0	78.0	74.0	50.0	61.0	47.0	51.0	27.0	21.0	26.0	26.0	46.0	44.0	37.0	74.0	49.0	28.0	78.0	148.0	90.0	61.0	91.0	44.0	62.0	27.0	49.0	41.0	56.0	85.0	125.0	50.0	82.0	37.0	52.0	18.0	42.0	43.0	90.0	33.0
alpha_rarefaction_2330_4.txt	2330	4	88.0	55.0	61.0	81.0	54.0	32.0	43.0	49.0	66.0	30.0	80.0	64.0	79.0	81.0	44.0	63.0	44.0	54.0	29.0	25.0	28.0	27.0	42.0	45.0	36.0	70.0	50.0	34.0	85.0	148.0	89.0	63.0	84.0	42.0	57.0	27.0	40.0	46.0	55.0	82.0	118.0	53.0	82.0	36.0	51.0	17.0	40.0	42.0	89.0	31.0
alpha_rarefaction_2330_5.txt	2330	5	91.0	49.0	62.0	82.0	60.0	33.0	40.0	56.0	66.0	32.0	81.0	65.0	71.0	80.0	49.0	59.0	48.0	50.0	27.0	28.0	25.0	28.0	46.0	45.0	34.0	70.0	50.0	26.0	83.0	146.0	91.0	59.0	89.0	42.0	58.0	29.0	44.0	43.0	57.0	82.0	119.0	53.0	90.0	37.0	52.0	16.0	41.0	45.0	83.0	30.0
alpha_rarefaction_2330_6.txt	2330	6	87.0	57.0	65.0	87.0	59.0	35.0	46.0	52.0	54.0	29.0	76.0	66.0	76.0	78.0	49.0	55.0	49.0	50.0	31.0	21.0	32.0	25.0	45.0	45.0	34.0	75.0	44.0	29.0	80.0	145.0	86.0	59.0	81.0	42.0	62.0	24.0	47.0	36.0	54.0	82.0	124.0	51.0	86.0	39.0	45.0	18.0	44.0	41.0	94.0	34.0
alpha_rarefaction_2330_7.txt	2330	7	88.0	58.0	65.0	83.0	61.0	35.0	46.0	49.0	61.0	27.0	77.0	65.0	69.0	77.0	46.0	61.0	47.0	51.0	28.0	21.0	28.0	28.0	45.0	46.0	36.0	66.0	45.0	36.0	82.0	144.0	85.0	61.0	92.0	43.0	59.0	22.0	46.0	43.0	51.0	89.0	117.0	51.0	85.0	33.0	48.0	14.0	41.0	45.0	87.0	34.0
alpha_rarefaction_2330_8.txt	2330	8	90.0	55.0	66.0	76.0	58.0	35.0	45.0	55.0	58.0	32.0	80.0	60.0	70.0	81.0	44.0	56.0	46.0	51.0	28.0	28.0	28.0	28.0	48.0	45.0	32.0	74.0	45.0	32.0	82.0	138.0	90.0	60.0	92.0	38.0	57.0	27.0	42.0	40.0	56.0	87.0	123.0	49.0	87.0	38.0	41.0	18.0	39.0	43.0	83.0	30.0
alpha_rarefaction_2330_9.txt	2330	9	88.0	55.0	64.0	85.0	53.0	32.0	44.0	54.0	65.0	28.0	75.0	60.0	70.0	81.0	45.0	64.0	48.0	48.0	29.0	29.0	31.0	26.0	46.0	46.0	32.0	76.0	48.0	31.0	82.0	146.0	92.0	62.0	87.0	43.0	57.0	28.0	41.0	42.0	64.0	92.0	126.0	50.0	89.0	34.0	48.0	16.0	37.0	43.0	86.0	33.0
alpha_rarefaction_2910_0.txt	2910	0	91.0	55.0	n/a	87.0	62.0	39.0	43.0	56.0	67.0	31.0	81.0	69.0	84.0	84.0	50.0	65.0	48.0	54.0	30.0	26.0	35.0	29.0	49.0	50.0	38.0	80.0	45.0	35.0	85.0	151.0	86.0	65.0	103.0	45.0	66.0	28.0	49.0	47.0	63.0	92.0	128.0	54.0	91.0	43.0	45.0	19.0	42.0	47.0	98.0	33.0
alpha_rarefaction_2910_1.txt	2910	1	96.0	57.0	n/a	87.0	61.0	35.0	47.0	57.0	69.0	30.0	84.0	70.0	79.0	80.0	50.0	62.0	48.0	55.0	29.0	30.0	35.0	28.0	49.0	50.0	37.0	79.0	51.0	31.0	83.0	151.0	92.0	66.0	96.0	43.0	64.0	32.0	51.0	46.0	60.0	86.0	133.0	52.0	86.0	37.0	54.0	18.0	42.0	46.0	90.0	34.0
alpha_rarefaction_2910_2.txt	2910	2	95.0	56.0	n/a	85.0	57.0	40.0	46.0	58.0	69.0	33.0	82.0	66.0	81.0	84.0	55.0	67.0	49.0	53.0	31.0	26.0	31.0	28.0	44.0	44.0	40.0	79.0	49.0	33.0	84.0	163.0	95.0	66.0	91.0	39.0	61.0	27.0	49.0	46.0	57.0	90.0	128.0	54.0	88.0	42.0	54.0	17.0	41.0	44.0	95.0	36.0
alpha_rarefaction_2910_3.txt	2910	3	93.0	58.0	n/a	89.0	65.0	36.0	48.0	57.0	68.0	32.0	83.0	67.0	79.0	80.0	46.0	66.0	49.0	54.0	30.0	25.0	36.0	27.0	48.0	50.0	36.0	82.0	51.0	31.0	86.0	150.0	94.0	65.0	95.0	43.0	65.0	28.0	53.0	42.0	58.0	87.0	126.0	57.0	92.0	39.0	47.0	17.0	40.0	47.0	89.0	32.0
